0x0	0	runnable	4	((Goblin, 3, 5))
0x1	0	runnable	4	((Skeleton, 2, 4))
0x2	0	runnable	4	((Goblin Guard, 1, 3),(Wolf, 0, 2),(Warg Wolf, 0, 2),(Goblin, 0, 2))
0x3	0	runnable	4	((Wolf, 1, 2))
0x4	0	runnable	4	((Zombie, 2, 4))
0x5	0	runnable	55	((Black Widow, 1, 2))
0x6	2	runnable	4	((Crazy Horse, 1, 1))
0x7	0	runnable	4	((Gigas Worm, 1, 2))
0x8	0	runnable	4	((Ghoul, 1, 1))
0x9	2	runnable	4	((Lizard, 1, 1))
0xa	0	runnable	90	((Shadow, 2, 4))
0xb	0	runnable	4	((Warg Wolf, 2, 5),(Wolf, 0, 3))
0xc	2	runnable	4	((Ogre, 1, 2))
0xd	0	runnable	4	((Cobra, 1, 2))
0xe	1	runnable	33	((Goblin Guard, 0, 5),(Werewolf, 1, 3),(Hill Gigas, 0, 2),(Lizard, 0, 2))
0xf	0	runnable	4	((Ghast, 1, 4))
0x10	0	runnable	4	((Gargoyle, 2, 3))
0x11	0	runnable	33	((Werewolf, 3, 6))
0x12	0	runnable	55	((Tarantula, 1, 4))
0x13	2	runnable	4	((Ogre Chief, 1, 1),(Ogre, 1, 2))
0x14	0	runnable	4	((Tarantula, 1, 2))
0x15	0	runnable	4	((Anaconda, 2, 6))
0x16	0	runnable	4	((Cockatrice, 2, 6))
0x17	2	runnable	4	((Ankheg, 1, 4))
0x18	0	runnable	4	((Wraith, 2, 6))
0x19	2	runnable	27	((Lesser Tiger, 1, 3))
0x1a	0	runnable	27	((Scorpion, 2, 4))
0x1b	2	runnable	27	((Troll, 1, 2),(Minotaur, 0, 1))
0x1c	0	unrunnable	33	((Piscodemon, 2, 4))
0x1d	0	runnable	4	((Mummy, 2, 5))
0x1e	2	runnable	4	((Hill Gigas, 1, 2))
0x1f	2	runnable	4	((Hill Gigas, 1, 2),(Lizard, 0, 3))
0x20	2	runnable	27	((Hydra, 1, 2))
0x21	2	unrunnable	4	((Earth Elemental, 1, 1))
0x22	2	unrunnable	55	((Hellhound, 0, 1),(Ogre Mage, 1, 2))
0x23	0	runnable	4	((Pyrolisk, 2, 5))
0x24	2	runnable	4	((Fire Hydra, 1, 1))
0x25	2	runnable	33	((Ochu, 1, 3))
0x26	2	runnable	4	((Fire Gigas, 1, 2))
